ref,N,hang,mult
NC_000001.10:26317138-26317500,40,1,0
NC_000001.10:26348916-26350001,203,2,0
NC_000001.10:26355618-26355974,50,2,0
NC_000001.10:26356029-26356388,38,0,0
NC_000001.10:26356845-26357210,22,2,0
NC_000001.10:26357462-26358103,124,0,0
NC_000001.10:26358696-26359055,139,1,0
NC_000001.10:26359566-26359904,60,1,0
NC_000001.10:26360046-26360423,32,0,0
NC_000001.10:26361229-26361949,91,1,0
NC_000001.10:26365258-26365925,68,2,0
NC_000001.10:26366171-26366512,38,0,0
NC_000001.10:26368041-26368382,65,2,0
NC_000001.10:26368878-26369228,38,1,0
NC_000001.10:26369862-26370197,42,1,0
NC_000001.10:26370626-26370967,39,4,0
NC_000001.10:26371319-26371746,65,4,0
NC_000001.10:26372192-26372625,41,0,0
NC_000001.10:26378142-26378412,19,1,0
NC_000001.10:26380214-26380552,51,3,0
NC_000001.10:26383586-26383915,37,2,1
NC_000001.10:26384014-26384379,57,1,1
NC_000001.10:26384851-26385284,77,2,0
NC_000001.10:26386662-26387015,66,2,0
NC_000001.10:26387583-26387948,39,3,0
NC_000001.10:26392732-26393082,40,1,0
NC_000001.10:26393746-26394167,43,1,0
NC_000001.10:26440742-26441252,109,4,0
NC_000001.10:26448196-26449245,360,0,0
NC_000001.10:26487695-26488780,157,3,0
NC_000001.10:26496340-26496758,55,7,10
NC_000001.10:26496782-26497360,138,4,10
NC_000001.10:26503862-26504197,30,1,0
NC_000001.10:26506945-26507505,75,1,0
NC_000001.10:26508142-26508489,11,0,0
NC_000001.10:26508763-26509214,27,0,0
NC_000001.10:26509617-26510047,55,0,0
NC_000001.10:26510141-26511238,141,0,0
NC_000001.10:26511487-26511837,21,2,0
NC_000001.10:26513542-26514052,105,2,0
NC_000001.10:26514557-26515479,141,0,0
NC_000001.10:26515757-26516196,63,1,0
NC_000001.10:26516988-26517344,24,1,0
NC_000001.10:26517629-26517982,29,3,0
NC_000001.10:26520138-26520467,70,2,0
NC_000001.10:26524056-26524955,86,1,0
NC_000001.10:26526229-26526582,68,4,0
NC_000001.10:26527290-26527622,71,2,1
NC_000001.10:26527789-26528198,69,3,1
NC_000001.10:26528931-26529278,27,3,0
NC_000001.10:26566050-26566400,57,1,0
NC_000001.10:26570632-26570955,72,1,0
NC_000001.10:26581524-26582348,253,2,0
NC_000001.10:26584033-26584374,57,2,0
NC_000001.10:26584565-26584936,73,1,0
NC_000001.10:26585962-26586312,43,0,0
NC_000001.10:26594820-26595152,37,2,0
NC_000001.10:26595792-26596139,51,2,0
NC_000001.10:26597328-26597663,57,2,0
NC_000001.10:26598436-26598777,41,1,0
NC_000001.10:26601258-26601614,37,2,0
NC_000001.10:26602881-26603326,102,4,2
NC_000001.10:26603465-26603960,162,4,2
NC_000001.10:26606087-26606775,133,1,0
NC_000001.10:26607100-26607767,76,2,0
NC_000001.10:26608614-26609453,81,0,0
NC_000001.10:26610541-26611063,61,1,0
NC_000001.10:26611766-26612092,18,1,0
NC_000001.10:26612275-26612625,45,2,0
NC_000001.10:26620560-26620895,34,1,0
NC_000001.10:26623338-26623682,13,2,0
NC_000001.10:26623805-26624152,25,2,0
NC_000001.10:26624384-26624734,28,2,0
NC_000001.10:26627316-26627642,92,1,0
NC_000001.10:26628095-26628424,45,2,0
NC_000001.10:26629286-26629556,27,0,0
NC_000001.10:26644339-26644689,99,1,0
NC_000001.10:26646536-26646936,142,1,0
NC_000001.10:26648267-26648845,136,2,0
NC_000001.10:26650483-26650827,44,0,0
NC_000001.10:26654661-26654990,26,2,0
NC_000001.10:26655167-26655529,39,0,0
NC_000001.10:26657944-26658285,49,0,0
NC_000001.10:26662532-26664189,223,3,0
NC_000001.10:26664417-26664755,53,7,18
NC_000001.10:26664756-26665100,61,15,18
NC_000001.10:26665666-26666019,40,2,0
NC_000001.10:26669210-26669963,121,0,0
NC_000001.10:26670204-26671502,210,14,15
NC_000001.10:26671576-26673277,320,11,15
NC_000001.10:26688065-26688827,207,0,0
NC_000001.10:26689405-26689752,41,1,0
NC_000001.10:26690903-26691736,132,5,0
NC_000001.10:26694073-26694426,26,1,0
NC_000001.10:26694912-26695244,67,3,0
NC_000001.10:26698858-26699217,114,2,0
NC_000001.10:26700600-26701030,87,4,0
NC_000001.10:26737115-26737441,44,1,0
NC_000001.10:26737874-26738206,89,3,0
NC_000001.10:26751785-26752132,37,0,0
NC_000001.10:26752581-26753091,81,1,0
NC_000001.10:26759194-26759544,62,1,0
NC_000001.10:26764466-26764816,47,4,0
NC_000001.10:26769173-26769529,46,2,0
NC_000001.10:26772764-26773099,101,2,0
NC_000001.10:26773907-26774331,106,1,0
NC_000001.10:26784112-26784444,84,2,0
NC_000001.10:26786457-26786828,51,0,0
NC_000001.10:26793745-26794080,38,1,0
NC_000001.10:26795272-26795803,37,2,0
NC_000001.10:26799029-26799299,6,0,0
NC_000001.10:26799824-26800648,247,2,0
NC_000001.10:26801090-26801360,44,3,0
NC_000001.10:26856263-26856604,2,0,0
NC_000001.10:26857187-26857534,29,3,0
NC_000001.10:26863217-26863546,34,3,0
NC_000001.10:26869512-26869853,57,1,0
NC_000001.10:26870490-26870864,57,2,0
NC_000001.10:26872314-26872676,17,0,0
NC_000001.10:26873297-26873865,34,0,0
NC_000001.10:26877729-26878239,128,0,0
NC_000001.10:26879190-26879546,100,1,0
NC_000001.10:26879819-26880154,48,1,0
NC_000001.10:26880611-26881303,113,3,0
NC_000001.10:26881546-26882195,103,3,0
NC_000001.10:26883013-26883351,58,3,5
NC_000001.10:26883367-26883714,81,5,5
NC_000001.10:26885247-26885606,17,1,0
NC_000001.10:26887053-26887391,54,6,2
NC_000001.10:26887450-26887800,33,2,3
NC_000001.10:26887974-26888297,75,2,1
NC_000001.10:26897890-26898568,66,2,6
NC_000001.10:26898580-26898927,64,9,6
NC_000001.10:26899620-26899958,40,1,0
NC_000001.10:26900484-26901080,54,0,0
NC_000001.10:27022698-27024067,81,1,0
NC_000001.10:27055970-27056379,85,1,0
NC_000001.10:27057534-27058148,151,3,0
NC_000001.10:27058992-27059336,24,1,0
NC_000001.10:27087206-27087609,78,3,5
NC_000001.10:27087675-27088034,60,5,5
NC_000001.10:27088476-27088829,50,4,0
NC_000001.10:27089409-27089937,65,2,0
NC_000001.10:27092698-27093211,102,3,0
NC_000001.10:27094138-27094488,76,3,0
NC_000001.10:27097475-27097813,96,2,0
NC_000001.10:27098941-27099596,192,1,0
NC_000001.10:27099800-27100562,193,0,1
NC_000001.10:27100655-27101743,198,2,1
NC_000001.10:27102046-27102532,106,0,0
NC_000001.10:27105375-27107408,591,0,0
NC_000001.10:27117073-27117423,44,0,0
NC_000001.10:27120464-27121795,433,3,0
NC_000001.10:27123921-27124579,183,1,0
NC_000001.10:27153196-27153768,34,1,0
NC_000001.10:27158914-27159264,16,0,0
NC_000001.10:27174992-27175345,58,1,0
NC_000001.10:27176749-27177256,76,1,0
NC_000001.10:27177423-27177791,83,1,0
NC_000001.10:27179058-27179399,56,0,0
NC_000001.10:27180160-27180537,55,2,0
NC_000001.10:27182473-27182826,32,2,0
NC_000001.10:27189627-27190629,196,1,0
NC_000001.10:27205926-27206297,25,0,0
NC_000001.10:27210606-27210959,57,2,0
NC_000001.10:27212440-27213011,115,1,0
NC_000001.10:27215314-27215643,51,2,0
NC_000001.10:27216151-27216759,86,0,0
NC_000001.10:27217144-27217743,47,0,0
NC_000001.10:27218863-27219471,102,0,0
NC_000001.10:27219746-27220078,74,2,0
NC_000001.10:27220572-27220916,51,2,0
NC_000001.10:27223633-27224244,100,2,0
NC_000001.10:27226326-27226981,133,3,0
NC_000001.10:27237482-27237805,57,1,0
NC_000001.10:27238170-27238585,58,2,0
NC_000001.10:27239847-27240538,57,2,0
NC_000001.10:27248149-27248419,4,0,0
NC_000001.10:27250518-27250853,49,2,0
NC_000001.10:27255962-27256300,25,0,0
NC_000001.10:27267798-27268311,77,0,0
NC_000001.10:27269133-27269717,35,0,0
NC_000001.10:27271848-27272337,79,2,1
NC_000001.10:27272455-27272915,32,1,1
NC_000001.10:27276319-27276654,30,3,0
NC_000001.10:27277109-27277456,49,2,0
NC_000001.10:27277823-27279056,195,1,0
NC_000001.10:27320109-27321129,43,0,0
NC_000001.10:27332266-27333505,247,0,0
NC_000001.10:27338744-27339340,64,0,0
NC_000001.10:27426629-27427308,127,1,0
NC_000001.10:27427614-27427949,22,2,2
NC_000001.10:27428025-27428381,25,5,6
NC_000001.10:27428442-27428795,34,1,4
NC_000001.10:27428859-27429375,66,1,0
NC_000001.10:27429647-27430009,60,0,0
NC_000001.10:27432000-27432732,170,1,0
NC_000001.10:27434077-27434477,23,1,0
NC_000001.10:27435912-27436339,71,3,0
NC_000001.10:27440139-27440833,162,2,0
NC_000001.10:27480326-27480946,104,1,0
NC_000001.10:27587294-27587641,47,2,0
NC_000001.10:27589458-27589784,52,2,0
NC_000001.10:27608523-27608861,56,1,0
NC_000001.10:27609640-27609984,51,1,0
NC_000001.10:27614074-27614433,74,3,0
NC_000001.10:27618546-27618896,78,2,0
NC_000001.10:27620309-27620674,61,0,0
NC_000001.10:27620812-27621174,39,1,0
NC_000001.10:27622604-27622954,91,1,0
NC_000001.10:27623361-27623693,58,5,0
NC_000001.10:27624307-27624657,60,0,0
NC_000001.10:27627679-27628112,64,2,0
NC_000001.10:27630091-27630589,47,1,0
NC_000001.10:27631355-27631687,37,0,0
NC_000001.10:27632587-27633038,62,0,0
NC_000001.10:27648612-27649030,82,1,0
NC_000001.10:27657032-27657542,124,5,0
NC_000001.10:27658383-27658712,87,2,0
NC_000001.10:27658857-27659186,88,3,0
NC_000001.10:27659650-27659997,125,4,0
NC_000001.10:27660359-27661435,190,1,0
NC_000001.10:27661779-27662132,36,1,0
NC_000001.10:27671722-27672054,19,1,0
NC_000001.10:27673765-27674127,17,1,0
NC_000001.10:27674261-27674605,13,0,0
NC_000001.10:27675375-27675707,75,2,0
NC_000001.10:27675874-27677098,185,0,0
NC_000001.10:27677173-27677511,35,1,0
NC_000001.10:27677719-27678217,36,1,0
NC_000001.10:27679680-27680006,18,2,0
NC_000001.10:27680156-27680503,28,0,0
NC_000001.10:27681653-27682003,69,2,1
NC_000001.10:27682094-27682680,75,1,1
NC_000001.10:27682876-27683380,56,7,7
NC_000001.10:27683407-27684400,163,2,7
NC_000001.10:27684616-27685452,89,0,0
NC_000001.10:27685824-27686162,60,3,8
NC_000001.10:27686181-27686534,33,6,10
NC_000001.10:27686614-27686982,24,1,2
NC_000001.10:27687166-27688773,187,1,0
NC_000001.10:27688969-27689562,52,0,0
NC_000001.10:27689759-27690088,42,1,0
NC_000001.10:27690266-27690963,121,12,13
NC_000001.10:27691005-27691447,68,8,13
NC_000001.10:27692703-27693207,3,0,0
NC_000001.10:27695536-27695984,127,1,0
NC_000001.10:27696920-27697519,81,0,0
NC_000001.10:27699467-27700196,88,1,0
NC_000001.10:27700368-27700712,52,1,1
NC_000001.10:27700791-27701141,32,1,3
NC_000001.10:27701153-27701491,18,2,2
NC_000001.10:27705703-27706272,56,0,1
NC_000001.10:27706328-27706752,15,1,1
NC_000001.10:27708252-27709301,142,1,0
NC_000001.10:27709473-27709918,15,0,0
NC_000001.10:27720281-27721428,397,4,0
NC_000001.10:27734467-27734995,83,1,0
NC_000001.10:27736167-27736852,86,3,0
NC_000001.10:27739043-27739381,90,7,0
NC_000001.10:27741291-27741623,41,3,0
NC_000001.10:27742437-27742778,93,1,0
NC_000001.10:27744746-27745084,84,2,0
NC_000001.10:27745412-27745753,66,4,0
NC_000001.10:27755255-27755602,40,1,0
NC_000001.10:27873748-27878738,806,1,0
NC_000001.10:27939235-27939905,143,1,0
NC_000001.10:27940875-27941549,54,6,0
NC_000001.10:27941782-27942387,147,1,0
NC_000001.10:27943294-27943975,93,5,0
NC_000001.10:27947874-27948248,28,2,0
NC_000001.10:27949362-27949715,28,1,0
NC_000001.10:27950116-27950596,76,1,0
NC_000001.10:27992719-27993146,50,2,0
NC_000001.10:27994708-27995209,28,0,0
NC_000001.10:27995672-27996043,46,1,0
NC_000001.10:28052481-28052831,2,1,0
NC_000001.10:28053914-28054234,19,1,0
NC_000001.10:28059040-28059381,77,2,0
NC_000001.10:28060439-28060792,80,0,0
NC_000001.10:28071008-28071343,32,1,0
NC_000001.10:28075500-28075868,59,1,0
NC_000001.10:28081565-28081930,73,6,0
NC_000001.10:28085891-28086297,60,2,0
NC_000001.10:28086492-28086762,18,1,1
NC_000001.10:28086867-28087303,57,1,1
NC_000001.10:28099645-28100072,48,2,0
NC_000001.10:28115911-28116237,18,1,0
NC_000001.10:28119894-28120241,94,0,0
NC_000001.10:28128049-28128411,42,2,0
NC_000001.10:28136546-28136893,77,0,0
NC_000001.10:28138471-28138928,86,0,0
NC_000001.10:28144192-28144545,56,1,0
NC_000001.10:28146011-28146391,58,2,0
NC_000001.10:28148588-28149071,104,0,0
NC_000001.10:28157099-28157473,63,0,0
NC_000001.10:28159097-28159441,41,3,0
NC_000001.10:28160828-28161178,20,4,0
NC_000001.10:28165183-28165521,121,2,0
NC_000001.10:28167344-28167774,128,1,0
NC_000001.10:28169545-28169868,76,1,0
NC_000001.10:28173338-28173691,135,4,0
NC_000001.10:28176574-28177054,186,0,0
NC_000001.10:28177827-28178343,107,2,0
NC_000001.10:28199004-28199357,18,0,0
NC_000001.10:28202933-28203271,34,0,0
NC_000001.10:28206079-28206651,109,3,0
NC_000001.10:28208468-28209692,174,1,0
NC_000001.10:28211639-28211986,63,4,0
NC_000001.10:28212230-28212651,100,2,0
NC_000001.10:28218427-28218777,42,1,0
NC_000001.10:28220474-28221070,94,0,0
NC_000001.10:28223473-28223793,37,2,0
NC_000001.10:28224080-28224400,10,0,0
NC_000001.10:28233432-28233945,76,3,0
NC_000001.10:28240424-28241263,165,1,0
NC_000001.10:28261469-28261908,70,1,0
NC_000001.10:28268586-28268930,49,0,0
NC_000001.10:28271749-28272084,27,1,0
NC_000001.10:28275443-28275793,52,2,0
NC_000001.10:28279562-28279909,66,2,0
NC_000001.10:28280835-28281185,48,1,0
NC_000001.10:28282147-28282900,134,1,0
NC_000001.10:28284896-28285504,70,2,0
NC_000001.10:28286463-28286958,16,1,0
NC_000001.10:28289978-28290355,20,1,0
NC_000001.10:28292839-28293933,173,2,0
NC_000001.10:28300766-28301092,26,1,0
NC_000001.10:28303693-28304058,37,1,0
NC_000001.10:28304786-28305139,75,0,0
NC_000001.10:28314925-28315269,22,0,0
NC_000001.10:28316086-28316436,48,1,0
NC_000001.10:28319758-28320090,118,2,0
NC_000001.10:28323672-28324034,56,0,0
NC_000001.10:28326415-28326750,73,3,0
NC_000001.10:28330671-28331021,53,1,0
NC_000001.10:28337358-28337702,74,2,0
NC_000001.10:28339598-28339951,55,1,0
NC_000001.10:28343532-28343867,74,3,0
NC_000001.10:28354184-28354546,59,1,0
NC_000001.10:28361935-28362300,81,1,0
NC_000001.10:28365246-28365575,73,1,0
NC_000001.10:28368952-28369308,83,3,0
NC_000001.10:28374725-28375087,15,0,0
NC_000001.10:28384429-28384794,42,2,0
NC_000001.10:28422714-28423082,80,6,0
NC_000001.10:28476345-28477566,345,4,0
NC_000001.10:28527772-28528042,10,2,0
NC_000001.10:28530257-28530527,36,0,0
NC_000001.10:28531714-28532040,41,1,0
NC_000001.10:28534788-28535108,37,0,0
NC_000001.10:28536488-28536758,30,1,0
NC_000001.10:28537014-28537355,57,2,0
NC_000001.10:28541378-28541722,18,0,0
NC_000001.10:28555383-28555703,17,0,0
NC_000001.10:28559373-28559732,47,1,0
NC_000001.10:28562588-28563187,131,4,0
NC_000001.10:28564102-28564689,156,0,0
NC_000001.10:28572940-28573373,93,1,0
NC_000001.10:28586170-28586496,17,1,0
NC_000001.10:28595491-28595826,68,2,0
NC_000001.10:28598159-28598527,49,1,0
NC_000001.10:28598777-28599450,90,1,0
NC_000001.10:28599795-28600154,8,0,0
NC_000001.10:28600365-28600712,56,2,0
NC_000001.10:28601330-28601680,63,2,0
NC_000001.10:28605429-28605791,48,4,0
NC_000001.10:28607180-28607530,31,1,0
NC_000001.10:28656930-28657277,41,0,0
NC_000001.10:28660869-28661610,148,3,0
NC_000001.10:28696192-28696530,30,2,0
NC_000001.10:28733785-28734123,54,1,0
NC_000001.10:28764657-28765102,110,1,0
NC_000001.10:28783625-28783954,9,2,0
NC_000001.10:28785461-28785838,36,0,0
NC_000001.10:28786617-28786964,87,1,0
NC_000001.10:28792177-28792500,54,2,0
NC_000001.10:28792757-28793368,197,2,0
NC_000001.10:28800064-28800811,245,3,0
NC_000001.10:28802523-28802885,34,1,0
NC_000001.10:28806891-28807256,75,2,0
NC_000001.10:28815558-28815929,59,0,0
NC_000001.10:28816185-28816547,81,3,0
NC_000001.10:28817330-28817665,46,0,0
NC_000001.10:28818124-28818471,30,0,0
NC_000001.10:28819389-28819754,50,0,0
NC_000001.10:28822941-28823303,78,3,0
NC_000001.10:28833729-28834079,64,1,0
NC_000001.10:28834921-28835271,75,1,0
NC_000001.10:28843149-28843505,33,3,0
NC_000001.10:28856188-28856520,57,2,0
NC_000001.10:28856845-28857192,24,0,0
NC_000001.10:28858147-28858894,117,3,0
NC_000001.10:28858977-28859351,43,1,0
NC_000001.10:28861453-28861945,118,7,18
NC_000001.10:28861951-28862560,154,14,18
NC_000001.10:28862709-28863068,64,2,0
NC_000001.10:28863222-28863575,30,1,0
NC_000001.10:28864332-28864673,39,0,0
NC_000001.10:28879523-28879870,19,0,0
NC_000001.10:28880085-28880441,60,0,0
NC_000001.10:28887010-28887369,19,2,0
NC_000001.10:28887633-28888013,53,0,0
NC_000001.10:28891180-28891527,55,1,0
NC_000001.10:28893615-28893965,61,3,0
NC_000001.10:28897545-28897871,20,2,0
NC_000001.10:28898220-28898582,54,1,0
NC_000001.10:28903969-28904325,17,0,0
NC_000001.10:28905125-28905478,115,3,0
NC_000001.10:28906093-28906440,69,3,0
NC_000001.10:28906738-28907076,32,1,0
NC_000001.10:28907371-28907745,87,2,0
NC_000001.10:28918969-28919417,11,3,0
NC_000001.10:28920030-28920380,25,2,0
NC_000001.10:28929844-28930188,74,2,0
NC_000001.10:28931737-28932081,89,0,0
NC_000001.10:28939580-28939936,71,0,0
NC_000001.10:28944379-28944753,106,3,0
NC_000001.10:28948398-28948733,37,1,0
NC_000001.10:28995051-28995428,14,1,0
NC_000001.10:29010044-29010403,118,4,0
NC_000001.10:29016451-29016777,39,1,0
NC_000001.10:29017998-29018375,34,0,0
NC_000001.10:29019345-29019725,69,1,0
NC_000001.10:29023288-29023623,80,1,0
NC_000001.10:29028801-29029169,63,3,0
NC_000001.10:29030549-29030881,35,1,0
NC_000001.10:29036893-29037243,100,0,0
NC_000001.10:29040503-29041416,167,3,0
NC_000001.10:29063443-29063784,9,1,0
NC_000001.10:29063946-29064281,39,3,0
NC_000001.10:29064662-29065009,60,4,0
NC_000001.10:29068760-29070366,304,1,0
NC_000001.10:29138708-29139283,27,0,0
NC_000001.10:29185325-29185823,79,2,0
NC_000001.10:29189187-29190014,150,1,0
NC_000001.10:29313800-29314458,168,3,0
NC_000001.10:29319766-29320131,68,0,0
NC_000001.10:29323558-29323929,36,2,0
NC_000001.10:29338216-29338575,52,1,0
NC_000001.10:29342090-29342437,30,0,0
NC_000001.10:29344629-29345065,151,2,0
NC_000001.10:29356762-29357097,67,0,0
NC_000001.10:29359490-29359855,59,2,0
NC_000001.10:29362196-29362528,57,2,0
NC_000001.10:29365652-29365987,103,0,0
NC_000001.10:29379586-29380010,113,1,0
NC_000001.10:29384992-29385407,38,1,0
NC_000001.10:29386852-29387211,52,2,0
NC_000001.10:29391373-29391809,86,3,0
NC_000001.10:29424147-29424485,131,2,0
NC_000001.10:29435780-29436133,125,5,0
NC_000001.10:29438714-29439049,67,0,0
NC_000001.10:29442035-29442364,77,1,0
NC_000001.10:29447228-29448396,152,1,0
NC_000001.10:29474756-29475755,412,0,0
NC_000001.10:29476457-29476816,75,0,0
NC_000001.10:29481154-29481486,66,2,0
NC_000001.10:29485829-29486188,34,1,0
NC_000001.10:29486854-29487186,52,1,0
NC_000001.10:29508021-29508427,42,1,0
NC_000001.10:29520355-29520764,42,0,0
NC_000001.10:29522323-29522842,163,3,0
NC_000001.10:29526954-29527292,30,2,0
NC_000001.10:29527842-29528192,37,4,1
NC_000001.10:29528300-29528650,48,1,1
NC_000001.10:29529578-29529919,42,0,0
NC_000001.10:29533203-29533547,23,1,0
NC_000001.10:29542392-29542763,48,2,1
NC_000001.10:29542935-29543380,97,4,1
NC_000001.10:29557092-29557445,22,3,0
NC_000001.10:29563026-29563376,14,0,0
NC_000001.10:29581689-29582039,41,5,0
NC_000001.10:29584991-29585442,74,1,0
NC_000001.10:29585645-29586155,48,1,0
NC_000001.10:29586338-29586673,7,0,0
NC_000001.10:29587053-29587483,68,1,0
NC_000001.10:29601912-29602443,55,2,0
NC_000001.10:29605460-29605828,23,2,3
NC_000001.10:29605890-29606240,55,2,3
NC_000001.10:29606372-29606701,39,1,0
NC_000001.10:29609169-29609599,24,1,0
NC_000001.10:29610255-29610611,30,0,0
NC_000001.10:29611115-29611462,23,2,0
NC_000001.10:29616079-29616399,87,2,0
NC_000001.10:29618266-29618604,42,1,0
NC_000001.10:29630214-29630576,43,0,0
NC_000001.10:29631130-29631453,39,3,0
NC_000001.10:29631768-29632207,77,5,0
NC_000001.10:29633485-29633808,49,1,0
NC_000001.10:29637173-29637520,98,3,0
NC_000001.10:29637855-29638377,63,1,0
NC_000001.10:29638890-29639240,53,1,0
NC_000001.10:29641821-29642156,75,4,1
NC_000001.10:29642350-29642712,62,1,1
NC_000001.10:29644246-29644572,74,1,0
NC_000001.10:29647124-29647471,37,0,0
NC_000001.10:29649841-29650407,35,1,0
NC_000001.10:29651604-29651945,35,1,0
NC_000001.10:29652084-29652431,26,1,0
NC_000001.10:29674975-29675310,5,1,0
NC_000001.10:29691450-29691800,50,0,0
NC_000001.10:29696007-29696333,47,3,0
NC_000001.10:29720204-29720578,36,1,0
NC_000001.10:29842060-29842380,31,5,1
NC_000001.10:29842456-29842791,53,2,4
NC_000001.10:29842846-29843208,64,3,3
NC_000001.10:29843393-29843663,30,7,0
NC_000001.10:29845154-29845486,11,1,0
NC_000001.10:29863128-29863398,7,1,0
NC_000001.10:31186176-31186541,17,1,0
NC_000001.10:31187003-31187323,34,0,0
NC_000001.10:31187919-31188257,59,3,0
NC_000001.10:31188599-31189201,181,4,0
NC_000001.10:31189599-31189949,37,3,0
NC_000001.10:31191509-31192123,30,2,0
NC_000001.10:31194169-31194679,91,1,0
NC_000001.10:31196268-31196591,18,0,0
NC_000001.10:31206170-31206810,139,2,0
NC_000001.10:31207815-31208195,69,0,0
NC_000001.10:31210365-31210688,79,2,0
NC_000001.10:31211788-31212194,38,2,0
NC_000001.10:31212598-31212939,32,0,0
NC_000001.10:31214361-31214684,16,0,0
NC_000001.10:31215228-31215569,38,1,0
NC_000001.10:31230437-31230802,12,0,0
NC_000001.10:31345886-31346369,81,1,0
NC_000001.10:31347149-31347579,56,0,0
NC_000001.10:31349308-31350230,91,1,0
NC_000001.10:31351237-31351682,39,1,0
NC_000001.10:31381154-31381590,1,1,0
NC_000001.10:31405877-31406310,143,1,0
NC_000001.10:31408327-31408597,31,1,0
NC_000001.10:31409485-31409811,50,1,0
NC_000001.10:31413925-31414260,56,0,0
NC_000001.10:31414626-31414970,78,0,0
NC_000001.10:31418056-31418409,80,4,0
NC_000001.10:31421756-31422026,19,0,0
NC_000001.10:31422821-31423144,102,1,0
NC_000001.10:31424895-31425245,64,4,0
NC_000001.10:31426404-31426834,57,2,0
NC_000001.10:31437471-31437928,52,2,0
NC_000001.10:31438796-31439297,93,0,0
NC_000001.10:31439982-31440323,62,2,0
NC_000001.10:31440863-31441355,98,2,0
NC_000001.10:31447335-31447673,35,0,0
NC_000001.10:31452859-31453191,37,1,0
NC_000001.10:31453967-31454320,60,2,0
NC_000001.10:31465216-31465652,71,0,0
NC_000001.10:31467796-31468173,146,2,0
NC_000001.10:31478664-31479035,59,2,0
NC_000001.10:31479779-31480129,40,0,0
NC_000001.10:31501495-31501839,148,6,0
NC_000001.10:31528107-31528457,38,1,0
NC_000001.10:31531933-31532440,176,4,0
NC_000001.10:31538374-31538866,61,1,0
NC_000001.10:31654387-31654817,54,3,0
NC_000001.10:31655291-31655656,17,3,0
NC_000001.10:31656524-31656886,37,0,0
NC_000001.10:31657886-31658236,69,0,0
NC_000001.10:31660819-31661181,29,1,0
NC_000001.10:31712165-31712515,6,0,0
NC_000001.10:31732329-31733023,177,0,0
NC_000001.10:31733685-31734020,20,0,0
NC_000001.10:31734327-31734659,30,0,0
NC_000001.10:31740648-31740983,65,3,0
NC_000001.10:31741994-31742347,56,2,0
NC_000001.10:31744167-31744532,54,1,0
NC_000001.10:31754181-31754531,65,2,0
NC_000001.10:31761933-31762283,96,1,0
NC_000001.10:31764562-31764909,37,1,0
NC_000001.10:31766030-31766374,51,2,0
NC_000001.10:31769424-31769786,20,0,0
NC_000001.10:31782791-31783123,66,3,0
NC_000001.10:31790902-31791282,41,0,0
NC_000001.10:31791842-31792195,94,1,0
NC_000001.10:31809917-31810285,80,1,0
NC_000001.10:31811668-31812021,42,2,0
NC_000001.10:31819456-31819818,41,1,0
NC_000001.10:31821648-31821971,26,0,0
NC_000001.10:31836869-31837204,73,3,0
NC_000001.10:31838474-31838824,54,4,0
NC_000001.10:31840067-31840393,78,2,0
NC_000001.10:31842091-31842423,233,6,0
NC_000001.10:31845655-31845987,12,2,0
NC_000001.10:31882402-31882737,43,4,0
NC_000001.10:31883057-31883386,44,0,0
NC_000001.10:31885956-31886306,34,0,0
NC_000001.10:31886698-31887051,32,0,0
NC_000001.10:31896475-31896813,13,0,0
NC_000001.10:31897494-31897820,11,1,0
NC_000001.10:31897996-31898334,80,3,0
NC_000001.10:31898574-31899019,35,0,0
NC_000001.10:31899422-31899751,22,1,0
NC_000001.10:31901727-31902059,49,1,1
NC_000001.10:31902139-31902501,77,2,1
NC_000001.10:31905671-31906122,67,0,0
NC_000001.10:31906913-31907248,16,0,0
NC_000001.10:31971667-31972023,53,1,0
NC_000001.10:31972903-31973496,35,1,0
NC_000001.10:32042696-32043227,54,2,0
NC_000001.10:32044706-32045086,68,3,0
NC_000001.10:32045881-32046483,80,1,0
NC_000001.10:32048548-32048913,110,5,2
NC_000001.10:32049012-32049338,79,3,2
NC_000001.10:32050250-32051516,183,2,0
NC_000001.10:32052165-32052752,67,1,0
NC_000001.10:32084655-32085346,55,2,0
NC_000001.10:32086335-32086780,52,0,0
NC_000001.10:32086936-32087271,109,1,0
NC_000001.10:32089093-32089526,54,1,0
NC_000001.10:32090555-32090893,19,0,0
NC_000001.10:32092361-32093111,200,4,0
NC_000001.10:32096013-32096603,119,0,0
NC_000001.10:32097861-32098368,46,2,0
NC_000001.10:32098614-32098952,33,1,0
NC_000001.10:32100380-32100730,36,7,7
NC_000001.10:32100732-32101272,41,2,7
NC_000001.10:32110321-32110662,50,1,0
NC_000001.10:32118067-32118601,106,1,0
NC_000001.10:32119051-32119407,63,6,4
NC_000001.10:32119455-32119796,51,2,4
NC_000001.10:32120295-32120615,34,0,0
NC_000001.10:32120902-32121246,80,4,0
NC_000001.10:32121772-32122140,45,2,0
NC_000001.10:32122437-32122796,38,0,0
NC_000001.10:32123895-32124263,63,3,0
NC_000001.10:32124418-32124762,42,1,0
NC_000001.10:32126088-32126444,54,1,0
NC_000001.10:32126587-32127442,161,0,0
NC_000001.10:32127750-32128329,45,0,0
NC_000001.10:32130673-32131331,79,3,5
NC_000001.10:32131380-32131712,101,4,5
NC_000001.10:32133096-32133425,28,0,0
NC_000001.10:32133671-32134018,61,0,0
